country,country_code,latitude,longitude
USA,us,39.78373,-100.445882
China,cn,35.000074,104.999927
Russia,ru,64.686314,97.745306
Brazil,br,-10.333333,-53.2
France,fr,46.603354,1.888334
Germany,de,51.163818,10.447831
UK,gb,54.702354,-3.276575
Italy,it,42.638426,12.674297
Ukraine,ua,49.487197,31.271832
Japan,jp,36.574844,139.239418
Poland,pl,52.215933,19.134422
Romania,ro,45.985213,24.685923
Spain,es,39.326068,-4.837979
Argentina,ar,-34.996496,-64.967282
Netherlands,nl,52.243498,5.634323
Hungary,hu,47.181759,19.506094
Australia,au,-24.776109,134.755
South Africa,za,-28.816624,24.991639
Belgium,be,50.640281,4.666715
Czech Republic,cz,49.743905,15.338106